address,price,beds,baths,sqft,property_type
"3308 N Lee St, Philadelphia, PA 19134","$160,000",3 beds,1 bath,"1,064",Single Family
,,,,,
"2525 N Lee St, Philadelphia, PA 19125","$149,500",2 beds,1 bath,828,Single Family
"3420 D St, Philadelphia, PA 19134","$100,000",2 beds,1 bath,980,Single Family
"2440 Jasper St, Philadelphia, PA 19125","$245,000",3 beds,1 bath,"1,053",Single Family
"1915 E Birch St, Philadelphia, PA 19134","$168,900",3 beds,1 bath,956,Single Family
"3302 N Palethorp St, Philadelphia, PA 19140","$175,000",3 beds,1.5 baths,"1,160",Single Family
"3566 Ruth St, Philadelphia, PA 19134","$494,900",1 bed,1.5 baths,"1,590",Single Family
"3564 Ruth St, Philadelphia, PA 19134","$494,900",1 bed,1 bath,"1,380",Single Family
"435 E Elkhart St, Philadelphia, PA 19134","$30,000",3 beds,1 bath,780,Single Family
"2571 Coral St, Philadelphia, PA 19125","$429,900",4 beds,2.5 baths,"1,426",Single Family
"2014 Blair St, Philadelphia, PA 19125","$739,900",3 beds,3 baths,"2,400",Single Family
"2642 Coral St, Philadelphia, PA 19125","$229,900",2 beds,1 bath,"1,213",Single Family
"2018-20 E Stella St, Philadelphia, PA 19134","$369,000",6 beds,— baths,"3,406",Accommodation
"1818 E Hazzard St, Philadelphia, PA 19125","$267,900",2 beds,1.5 baths,927,Single Family
"205 W Wishart St, Philadelphia, PA 19133","$170,000",3 beds,1.5 baths,"1,092",Single Family
"1910 E Atlantic St, Philadelphia, PA 19134","$205,000",3 beds,1.5 baths,"1,384",Single Family
"2935 Ruth St, Philadelphia, PA 19134","$95,000",3 beds,2 baths,"1,456",Single Family
